Design Points,extrusion,angle_1,radius_small,radius_large,distance_between_circles,frame_fillet_radius,angle_2,ply_angle_1,ply_angle_2,ply_angle_3,ply_angle_4,ply_angle_5,ply_angle_6,ply_angle_7,ply_angle_8,ply_angle_9,ply_angle_10,ply_angle_11,ply_angle_12,ply_angle_13,ply_angle_14,ply_angle_15,ply_angle_16,ply_angle_17,ply_angle_18,ply_angle_19,ply_angle_20,ply_angle_21,ply_angle_22,ply_angle_23,ply_angle_24,ply_angle_25,ply_angle_26,ply_angle_27,ply_angle_28,ply_angle_29,ply_angle_30,ply_angle_31,ply_angle_32,ply_angle_33,ply_angle_34,ply_angle_35,ply_angle_36,ply_angle_37,ply_angle_38,ply_angle_39,ply_angle_40,ply_angle_41,ply_angle_42,ply_angle_43,ply_angle_44,ply_angle_45,ply_angle_46,ply_angle_47,ply_angle_48,ply_angle_49,ply_angle_50,ply_angle_51,ply_angle_52,ply_angle_53,ply_angle_54,ply_angle_55,ply_angle_56,ply_angle_57,ply_angle_58,ply_angle_59,ply_angle_60,ply_angle_61,ply_angle_62,ply_angle_63,ply_angle_64,ply_angle_65,ply_angle_66,ply_angle_67,ply_angle_68,ply_angle_69,ply_angle_70,ply_angle_71,ply_angle_72,ply_angle_73,ply_angle_74,ply_angle_75,ply_angle_76,ply_angle_77,ply_angle_78,ply_angle_79,ply_angle_80,ply_angle_81,ply_angle_82,ply_angle_83,ply_angle_84,ply_angle_85,ply_angle_86,ply_angle_87,ply_angle_88,ply_angle_89,ply_angle_90,ply_angle_91,ply_angle_92,ply_angle_93,ply_angle_94,ply_angle_95,ply_angle_96,ply_angle_97,ply_angle_98,ply_angle_99,ply_angle_100,ply_active_'''''''True,ply_active_2,ply_active_3,ply_active_4,ply_active_5,ply_active_6,ply_active_7,ply_active_8,ply_active_9,ply_active_'''''''True'''''''False,ply_active_'''''''True'''''''True,ply_active_'''''''True2,ply_active_'''''''True3,ply_active_'''''''True4,ply_active_'''''''True5,ply_active_'''''''True6,ply_active_'''''''True7,ply_active_'''''''True8,ply_active_'''''''True9,ply_active_2'''''''False,ply_active_2'''''''True,ply_active_22,ply_active_23,ply_active_24,ply_active_25,ply_active_26,ply_active_27,ply_active_28,ply_active_29,ply_active_3'''''''False,ply_active_3'''''''True,ply_active_32,ply_active_33,ply_active_34,ply_active_35,ply_active_36,ply_active_37,ply_active_38,ply_active_39,ply_active_4'''''''False,ply_active_4'''''''True,ply_active_42,ply_active_43,ply_active_44,ply_active_45,ply_active_46,ply_active_47,ply_active_48,ply_active_49,ply_active_5'''''''False,ply_active_5'''''''True,ply_active_52,ply_active_53,ply_active_54,ply_active_55,ply_active_56,ply_active_57,ply_active_58,ply_active_59,ply_active_6'''''''False,ply_active_6'''''''True,ply_active_62,ply_active_63,ply_active_64,ply_active_65,ply_active_66,ply_active_67,ply_active_68,ply_active_69,ply_active_7'''''''False,ply_active_7'''''''True,ply_active_72,ply_active_73,ply_active_74,ply_active_75,ply_active_76,ply_active_77,ply_active_78,ply_active_79,ply_active_8'''''''False,ply_active_8'''''''True,ply_active_82,ply_active_83,ply_active_84,ply_active_85,ply_active_86,ply_active_87,ply_active_88,ply_active_89,ply_active_9'''''''False,ply_active_9'''''''True,ply_active_92,ply_active_93,ply_active_94,ply_active_95,ply_active_96,ply_active_97,ply_active_98,ply_active_99,ply_active_'''''''True'''''''False'''''''False
dp10,200,10,19.76772431,60.88867325,151.8866868,26.12669544,20,0,90,90,45,-45,45,0,0,45,-45,90,90,-45,90,0,90,90,0,90,-45,90,90,-45,45,0,0,45,-45,45,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp11,200,10,25.82823357,56.68924263,134.6248086,21.53976281,20,90,0,0,45,0,45,0,0,0,90,90,-45,90,90,-45,0,90,90,90,45,-45,0,0,45,0,90,90,-45,-45,-45,45,-45,90,90,90,0,90,0,90,0,90,0,0,45,45,90,0,90,0,90,45,45,0,0,90,0,90,0,90,0,90,90,90,-45,45,-45,-45,-45,90,90,0,45,0,0,-45,45,90,90,90,0,-45,90,90,-45,90,90,0,0,0,45,0,45,0,0,90,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
dp12,200,10,23.19828606,65.21444754,130.5465006,17.96944422,20,0,0,0,0,0,45,90,45,-45,0,45,-45,0,90,90,90,0,0,90,45,-45,0,45,45,90,-45,0,90,90,0,45,0,90,0,90,0,-45,-45,90,-45,45,-45,90,-45,45,0,0,0,0,0,45,-45,90,-45,45,-45,90,-45,-45,0,90,0,90,0,45,0,90,90,0,-45,90,45,45,0,-45,45,90,0,0,90,90,90,0,-45,45,0,-45,45,90,45,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
dp13,200,10,17.15901721,52.57415263,159.0356732,30.61228076,20,0,-45,0,-45,45,45,90,45,45,-45,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp14,200,10,14.41414718,70.42137317,139.4119855,23.89865188,20,45,45,90,45,0,90,-45,-45,90,45,0,0,45,-45,-45,45,-45,90,-45,-45,90,45,0,90,0,45,90,-45,-45,90,-45,45,-45,-45,45,0,0,45,90,-45,-45,90,0,45,90,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp15,200,10,20.72863501,47.09694188,167.2210505,28.45686607,20,45,90,90,0,0,0,-45,90,45,0,0,-45,90,-45,0,0,45,90,-45,0,0,0,90,90,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp16,200,10,20.20393902,69.57945746,136.5093387,19.89219088,20,45,90,0,0,-45,90,0,-45,45,90,0,90,90,45,0,0,90,0,0,0,0,-45,0,90,90,90,0,90,90,90,45,-45,0,0,90,45,0,0,90,-45,0,0,0,0,0,0,0,0,0,0,0,0,-45,90,0,0,45,90,0,0,-45,45,90,90,90,0,90,90,90,0,-45,0,0,0,0,90,0,0,45,90,90,0,90,45,-45,0,90,-45,0,0,90,45,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
dp17,200,10,14.14197344,47.93916228,153.0673368,32.44707244,20,0,-45,0,0,0,45,90,90,0,90,90,-45,-45,90,90,0,45,45,0,0,45,45,0,90,90,-45,-45,90,90,0,90,90,45,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp18,200,10,17.40848887,66.05663737,144.693655,22.06403138,20,45,90,90,-45,45,90,90,90,90,-45,-45,0,45,90,90,90,0,90,90,45,90,-45,90,90,45,-45,90,0,0,0,90,-45,45,90,90,-45,90,45,90,90,0,90,90,90,45,0,-45,-45,90,90,90,90,45,-45,90,90,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp19,200,10,23.74569628,51.73220742,161.9338931,26.53440509,20,90,90,90,90,90,-45,90,0,45,0,0,90,-45,45,45,-45,90,-45,0,45,0,0,0,0,45,0,-45,90,-45,45,45,-45,90,0,0,45,0,90,-45,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp20,200,10,25.60293282,61.17148355,171.4888854,30.08967158,20,0,0,0,45,-45,0,90,0,90,90,0,90,45,90,0,90,0,0,45,90,0,-45,-45,90,-45,90,45,-45,0,90,0,0,0,45,0,0,0,90,45,-45,90,90,90,-45,45,90,0,0,0,45,0,0,0,90,0,-45,45,90,-45,90,-45,-45,0,90,45,0,0,90,0,90,45,90,0,90,90,0,90,0,-45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dp21,200,10,19.2898955,56.4061877,142.9774075,17.56373728,20,0,0,0,90,0,-45,0,0,45,90,-45,90,45,90,0,45,0,-45,0,0,90,-45,-45,45,90,90,0,0,45,45,-45,0,90,90,-45,0,45,90,90,90,90,90,0,0,0,0,90,90,90,90,90,45,0,-45,90,90,0,-45,45,45,0,0,90,90,45,-45,-45,90,0,0,-45,0,45,0,90,45,90,-45,90,45,0,0,-45,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
dp22,200,10,16.78473118,74.53464966,157.1518716,28.04188947,20,90,-45,-45,0,45,-45,0,-45,90,0,0,90,90,90,-45,45,45,90,90,0,45,45,90,0,90,0,90,0,90,45,45,0,90,90,45,45,-45,90,90,90,0,0,90,-45,0,-45,45,0,-45,-45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
